"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
1.133362548E2,3.884145990E-2,5.132645965E-1,-2.921018051E-3
1.133561458E2,3.962292150E-2,5.121163130E-1,-5.034637172E-3
1.133760358E2,4.076163471E-2,5.117644668E-1,-6.405529100E-3
1.133959268E2,4.023260251E-2,5.139941573E-1,-9.495894425E-3
1.134158178E2,3.944768757E-2,5.098344684E-1,-1.085364446E-2
1.134357078E2,4.484324157E-2,4.981398284E-1,-1.242550462E-2
1.134555988E2,4.280464351E-2,4.915816188E-1,-1.496433001E-2
1.134754898E2,4.006925225E-2,4.798453152E-1,-1.587316580E-2
1.134953798E2,4.140980169E-2,4.609455466E-1,-1.696392894E-2
1.135152708E2,3.896444663E-2,4.453265071E-1,-1.713507250E-2
1.135351618E2,3.483752534E-2,4.266386628E-1,-1.934622787E-2
1.135550528E2,3.523318842E-2,4.010039568E-1,-1.922399178E-2
1.135749428E2,3.298284858E-2,3.748808205E-1,-1.853606105E-2
1.135948338E2,2.977361903E-2,3.494990468E-1,-2.069825120E-2
1.136147248E2,3.153414652E-2,3.205738068E-1,-2.026329003E-2
1.136346148E2,2.964018844E-2,2.857528031E-1,-1.660883240E-2
1.136545058E2,2.626561187E-2,2.568508685E-1,-1.729965769E-2
1.136743968E2,2.353165671E-2,2.233614326E-1,-1.591444761E-2
1.136942868E2,2.071305737E-2,1.864140779E-1,-1.417021081E-2
1.137141778E2,1.618393511E-2,1.505885124E-1,-1.233286038E-2
1.137340688E2,1.567500830E-2,1.158346906E-1,-1.055846177E-2
1.137539588E2,1.551922783E-2,7.764639705E-2,-9.166963398E-3
1.137738498E2,1.149563026E-2,3.940828517E-2,-5.918237846E-3
1.137937408E2,8.242392913E-3,2.954213414E-3,-2.135416493E-3
1.138136308E2,5.305826664E-3,-3.433674201E-2,-2.154926769E-3
1.138335218E2,1.997034764E-3,-7.438410074E-2,1.932154992E-3
1.138534128E2,-1.068287529E-4,-1.107028350E-1,4.567658529E-3
1.138733028E2,-1.157497172E-3,-1.490892172E-1,5.926438142E-3
1.138931938E2,-5.401189905E-3,-1.856285781E-1,9.394303896E-3
1.139130848E2,-7.469350006E-3,-2.208610177E-1,1.047417894E-2
1.139329748E2,-1.026782207E-2,-2.530521452E-1,1.171748154E-2
1.139528658E2,-1.258618664E-2,-2.881509662E-1,1.487812120E-2
1.139727568E2,-1.582622901E-2,-3.180973232E-1,1.666919701E-2
1.139926468E2,-1.950521767E-2,-3.439849019E-1,1.899360307E-2
1.140125378E2,-2.000260167E-2,-3.726198375E-1,2.104244009E-2
1.140324288E2,-2.347530425E-2,-3.998821974E-1,2.157037333E-2
1.140523188E2,-2.606283873E-2,-4.208325148E-1,2.063760348E-2
1.140722098E2,-2.756788209E-2,-4.419961572E-1,2.165000513E-2
1.140921008E2,-2.937475406E-2,-4.623459280E-1,2.349451371E-2
1.141119908E2,-3.220435977E-2,-4.771159589E-1,2.281347662E-2
1.141318818E2,-3.260405362E-2,-4.883389771E-1,2.343675494E-2
1.141517728E2,-3.361885622E-2,-5.013485551E-1,2.238750271E-2
1.141716628E2,-3.679613397E-2,-5.080414414E-1,2.250990644E-2
1.141915538E2,-3.708704561E-2,-5.105220675E-1,2.155669592E-2
1.142114451E2,-3.617757931E-2,-5.126852393E-1,1.972930320E-2
1.142313351E2,-3.717311472E-2,-5.108813047E-1,1.810121164E-2
1.142512261E2,-3.860674053E-2,-5.058055520E-1,1.759304665E-2
1.142711171E2,-3.789838403E-2,-4.985388517E-1,1.519636903E-2
1.142910071E2,-3.789495677E-2,-4.926738143E-1,1.344084647E-2
1.143108981E2,-3.981781006E-2,-4.787833691E-1,1.126907207E-2
1.143307891E2,-3.867194057E-2,-4.629824758E-1,9.718646295E-3
1.143506791E2,-3.635344654E-2,-4.495732784E-1,5.000889301E-3
1.143705701E2,-3.403742611E-2,-4.292674065E-1,5.870112218E-3
1.143904611E2,-3.509042785E-2,-4.023040235E-1,2.812602790E-3
1.144103511E2,-3.018266149E-2,-3.813574314E-1,2.204469638E-3
1.144302421E2,-2.750025876E-2,-3.561382294E-1,1.448664116E-3
1.144501331E2,-2.915035002E-2,-3.228224814E-1,-3.575574374E-4
1.144700231E2,-2.504050732E-2,-2.940277457E-1,-1.780516817E-3
1.144899141E2,-2.030705661E-2,-2.635458410E-1,-4.909432027E-3
1.145098051E2,-2.262657881E-2,-2.286855727E-1,-2.659460064E-3
1.145296951E2,-1.779426821E-2,-1.952435672E-1,-5.300316960E-3
1.145495861E2,-1.540402602E-2,-1.604855657E-1,-5.682848394E-3
1.145694771E2,-1.242080890E-2,-1.218337938E-1,-6.521376316E-3
1.145893671E2,-9.237905964E-3,-8.451849222E-2,-6.859469227E-3
1.146092581E2,-6.397668272E-3,-4.841195792E-2,-7.103310898E-3
1.146291491E2,-5.937681533E-3,-9.244687855E-3,-9.067561477E-3
1.146490391E2,-1.277602045E-3,3.072038107E-2,-7.610477507E-3
1.146689301E2,4.600347951E-3,6.708170474E-2,-9.019088931E-3
1.146888201E2,4.993951879E-3,1.067279801E-1,-8.549374528E-3
1.147087111E2,7.323597558E-3,1.428536326E-1,-9.528018534E-3
